Won,Lost,Draw,GF,GA,PPM,Foreign playing time %,Average age,diversity
24,6,8,79,31,2.1052631578947367,48.349834983498354,25.057142857142857,1.02613164103
20,8,10,63,38,1.8421052631578947,63.96120333608676,25.303030303030305,1.03487712022
20,9,9,71,39,1.8157894736842106,61.22519828023607,24.516129032258064,1.03400300618
20,10,8,64,43,1.7894736842105263,53.84594818597439,22.52777777777778,1.02639323593
20,12,6,57,42,1.736842105263158,36.860304287690184,24.703703703703702,1.01883815559
17,11,10,68,45,1.605263157894737,77.87176134695947,26.2,1.0456020188
15,11,12,46,41,1.5,57.00288338316959,24.305555555555557,1.03297274285
13,10,15,46,43,1.4210526315789473,27.683856860967417,25.035714285714285,1.01878132413
14,14,10,50,57,1.368421052631579,56.64707453913973,25.2,1.03628715026
14,14,10,40,48,1.368421052631579,46.72882258923814,25.8,1.02146152545
14,15,9,44,50,1.3421052631578947,70.8104212268432,23.405405405405407,1.05882356282
13,15,10,47,54,1.2894736842105263,46.49700199866756,24.323529411764707,1.02828066644
14,18,6,39,51,1.263157894736842,53.66250968034822,25.485714285714284,1.03067418347
9,14,15,44,44,1.105263157894737,51.3110416165504,25.970588235294116,1.02897136138
10,16,12,45,50,1.105263157894737,50.56392481002533,25.025,1.04124743695
11,18,9,45,59,1.105263157894737,55.064962783128344,25.285714285714285,1.03128811089
10,16,12,37,59,1.105263157894737,70.93172005756622,23.63888888888889,1.05966888639
8,20,10,41,65,0.8947368421052632,66.32089810938375,24.81081081081081,1.04732301769
8,20,10,36,63,0.8947368421052632,58.27823397675162,23.64864864864865,1.03225264146
5,22,11,30,70,0.6842105263157895,49.299518834569476,27.771428571428572,1.02736922841
26,3,9,79,36,2.289473684210526,60.06954660960279,25.925925925925927,1.02691498955
24,6,8,67,30,2.1052631578947367,61.326865154463306,25.074074074074073,1.04052201078
24,9,5,87,45,2.026315789473684,62.538963633941655,26.066666666666666,1.03547070102
21,9,8,74,52,1.868421052631579,74.71671011331595,23.9,1.04420046154
18,8,12,53,37,1.736842105263158,46.83249437720895,24.076923076923077,1.01999010192
17,8,13,66,38,1.6842105263157894,77.22362981730898,24.515151515151516,1.04262298295
15,15,8,48,57,1.394736842105263,54.68487450990852,27.09375,1.03503981527
12,12,14,46,47,1.3157894736842106,63.75006667022242,25.88,1.04770363174
14,16,8,49,53,1.3157894736842106,50.747666051413745,26.88888888888889,1.03401078443
12,16,10,55,51,1.2105263157894737,63.80581072420423,26.806451612903224,1.04065043882
12,17,9,46,54,1.1842105263157894,50.95352564102564,26.58823529411765,1.03160146968
12,17,9,35,47,1.1842105263157894,46.791887408358754,26.305555555555557,1.03406132207
10,14,14,36,44,1.1578947368421053,82.0519660673318,25.379310344827587,1.03955887635
10,14,14,38,49,1.1578947368421053,50.95626588203825,26.275862068965516,1.02992853828
11,17,10,45,57,1.131578947368421,60.55462140016547,26.0625,1.03257336401
9,16,13,44,62,1.0526315789473684,50.668923275306256,25.951219512195124,1.02901799891
10,18,10,29,51,1.0526315789473684,60.72275039279913,25.20689655172414,1.04253174096
9,20,9,41,64,0.9473684210526315,44.14746052069995,24.75,1.02880486819
8,24,6,33,63,0.7894736842105263,59.5392842451666,24.307692307692307,1.03877996115
5,20,13,30,64,0.7368421052631579,48.91342118628211,24.914285714285715,1.02270459124
25,5,8,74,34,2.1842105263157894,61.85169423905526,25.25925925925926,1.03554229501
23,6,9,85,42,2.0526315789473686,66.17336716976092,25.161290322580644,1.03290276125
21,11,6,63,48,1.8157894736842106,66.82080615845183,23.393939393939394,1.04420259218
19,9,10,68,38,1.763157894736842,75.81122516997733,25.129032258064516,1.03877179848
18,10,10,61,41,1.6842105263157894,60.62004749072864,23.93103448275862,1.04319303455
16,10,12,52,43,1.5789473684210527,57.24204229865414,25.65625,1.0439894442
17,13,8,48,49,1.5526315789473684,55.26336887677383,25.46875,1.0358641919
13,12,13,43,46,1.368421052631579,56.20970749640365,25.727272727272727,1.03407911717
15,17,6,47,54,1.3421052631578947,78.78911011783828,24.88888888888889,1.05064061819
14,16,8,51,62,1.3157894736842106,61.81560055716275,25.419354838709676,1.03873078405
13,15,10,48,44,1.2894736842105263,58.94661086973905,24.21212121212121,1.03633567524
14,17,7,45,56,1.2894736842105263,54.541808166430464,26.24137931034483,1.0326746894
13,16,9,41,49,1.263157894736842,71.2920448478377,25.944444444444443,1.05007159842
13,16,9,41,50,1.263157894736842,80.5489419758701,26.233333333333334,1.05150897552
14,19,5,58,57,1.236842105263158,52.90908123070371,24.28125,1.02437789629
12,17,9,42,47,1.1842105263157894,66.9842540699226,25.033333333333335,1.04658954178
10,14,14,41,51,1.1578947368421053,74.95323606434717,26.142857142857142,1.03891128144
10,16,12,42,59,1.105263157894737,36.20187555104331,25.428571428571427,1.02360518329
6,24,8,29,65,0.6842105263157895,50.38331062852258,25.666666666666668,1.02751638067
4,27,7,21,65,0.5,53.09899226249036,24.38095238095238,1.03490644373
